timestamp, x, y, z, vel_x, vel_y, vel_z, acc_x, acc_y, acc_z, orientation_x, orientation_y, orientation_z, orientation_w, ang_vel_x, ang_vel_y, ang_vel_z
1729840090.882502966, 0, 0, -0.37, 0, 0, -2.71362, 0, 0, -1356.81, 0, 0, 0, 1, 0, 0, 0
1729840090.884491979, 0, 0, -0.375448, 0, 0, -2.73382, 0, 0, -1366.91, 0, 0, 0, 1, 0, 0, 0
1729840090.886494677, -1.47814e-55, 1.70418e-37, -0.380935, -3.69536e-52, 3.40837e-34, -2.75362, -1.84768e-49, 1.70418e-31, -1376.81, 0, 0, 0, 1, -2.60579e-27, -6.7122e-45, -6.51446e-28
1729840090.888494691, 5.06143e-37, 3.04538e-36, -0.386462, 1.01229e-33, 4.05255e-33, -2.77305, 5.06143e-31, 2.02627e-30, -1386.53, 0, 0, 0, 1, -9.12025e-27, 3.90868e-27, -1.95434e-27
1729840090.890509713, 5.78785e-36, 1.94186e-35, -0.392027, 6.02327e-33, 1.70811e-32, -2.79212, 3.01163e-30, 8.54055e-30, -1396.06, 0, 0, 0, 1, -1.56347e-26, 5.21157e-27, -3.25723e-27
1729840090.892505144, 2.18034e-35, 6.94567e-35, -0.39763, 1.13152e-32, 4.08949e-32, -2.81082, 5.65761e-30, 2.04475e-29, -1405.41, 0, 0, 0, 1, -1.56347e-26, 0, -4.56012e-27
1729840090.894508986, 4.52525e-35, 1.74988e-34, -0.40327, 1.29526e-32, 7.85543e-32, -2.82916, 6.4763e-30, 3.92772e-29, -1414.58, 0, 0, 0, 1, -2.86636e-26, 2.60579e-27, -7.16591e-27
1729840090.896494256, 7.6994e-35, 3.76842e-34, -0.408946, 2.26799e-32, 1.46645e-31, -2.84716, 1.13399e-29, 7.33226e-29, -1423.58, 0, 0, 0, 1, -3.38752e-26, 7.81736e-27, -8.4688e-27
1729840090.898488846, 1.33591e-34, 7.30812e-34, -0.414658, 3.84116e-32, 2.38788e-31, -2.86482, 1.92058e-29, 1.19394e-28, -1432.41, 0, 0, 0, 1, -3.90868e-26, 2.60579e-27, -9.7717e-27
1729840090.900503390, 2.155e-34, 1.28977e-33, -0.420405, 4.60414e-32, 3.63408e-31, -2.88215, 2.30207e-29, 1.81704e-28, -1441.08, 0, 0, 0, 1, -4.95099e-26, 2.60579e-27, -1.36804e-26
1729840090.902456957, 3.07583e-34, 2.12709e-33, -0.426187, 4.32081e-32, 5.3057e-31, -2.89915, 2.16041e-29, 2.65285e-28, -1449.58, 0, 0, 0, 1, -5.47215e-26, -7.81736e-27, -1.62862e-26
1729840090.904493121, 3.72177e-34, 3.31916e-33, -0.432002, 8.91655e-33, 7.26967e-31, -2.91583, 4.45828e-30, 3.63483e-28, -1457.92, 0, 0, 0, 1, -5.47215e-26, -1.30289e-26, -1.62862e-26
1729840090.906501893, 3.42468e-34, 4.91232e-33, -0.43785, -6.91892e-32, 9.34117e-31, -2.9322, -3.45946e-29, 4.67059e-28, -1466.1, 0, 0, 0, 1, -4.95099e-26, -3.38752e-26, -1.88919e-26
1729840090.908514476, 1.087e-34, 6.92731e-33, -0.44373, -2.12273e-31, 1.15792e-30, -2.94826, -1.06137e-28, 5.78958e-28, -1474.13, 0, 0, 0, 1, -5.99331e-26, -3.38752e-26, -2.14977e-26
1729840090.910497687, -4.14254e-34, 9.43995e-33, -0.449642, -3.57916e-31, 1.46101e-30, -2.96402, -1.78958e-28, 7.30505e-28, -1482.01, 0, 0, 0, 1, -8.07794e-26, -2.86636e-26, -2.28006e-26
1729840090.912496079, -1.22875e-33, 1.26244e-32, -0.455586, -5.09058e-31, 1.85566e-30, -2.97949, -2.54529e-28, 9.27829e-28, -1489.75, 0, 0, 0, 1, -8.33851e-26, -3.6481e-26, -2.54064e-26
1729840090.914516497, -2.37161e-33, 1.66253e-32, -0.46156, -6.96179e-31, 2.29227e-30, -2.99467, -3.4809e-28, 1.14614e-27, -1497.33, 0, 0, 0, 1, -8.85967e-26, -3.6481e-26, -3.19209e-26
1729840090.916506231, -3.89576e-33, 2.15346e-32, -0.467564, -8.93873e-31, 2.7818e-30, -3.00956, -4.46936e-28, 1.3909e-27, -1504.78, 0, 0, 0, 1, -9.38083e-26, -3.6481e-26, -3.71324e-26
1729840090.918506403, -5.84203e-33, 2.74549e-32, -0.473598, -1.14156e-30, 3.3168e-30, -3.02418, -5.70779e-28, 1.6584e-27, -1512.09, 0, 0, 0, 1, -9.38083e-26, -5.73273e-26, -3.71324e-26
1729840090.920503875, -8.36413e-33, 3.44729e-32, -0.479661, -1.50524e-30, 3.89869e-30, -3.03853, -7.5262e-28, 1.94935e-27, -1519.26, 0, 0, 0, 1, -1.04231e-25, -6.77504e-26, -3.71324e-26
1729840090.922540413, -1.16408e-32, 4.27212e-32, -0.485752, -1.89637e-30, 4.58317e-30, -3.05261, -9.48185e-28, 2.29159e-27, -1526.3, 0, 0, 0, 1, -1.19866e-25, -5.21157e-26, -4.2344e-26
1729840090.924533895, -1.56601e-32, 5.24087e-32, -0.491871, -2.23625e-30, 5.36488e-30, -3.06642, -1.11812e-27, 2.68244e-27, -1533.21, 0, 0, 0, 1, -1.19866e-25, -5.21157e-26, -4.62527e-26
1729840090.926520308, -2.03801e-32, 6.36923e-32, -0.498017, -2.61334e-30, 6.20156e-30, -3.07999, -1.30667e-27, 3.10078e-27, -1539.99, 0, 0, 0, 1, -1.30289e-25, -6.25389e-26, -4.75556e-26
1729840090.928514497, -2.59309e-32, 7.67008e-32, -0.504191, -3.11478e-30, 7.1066e-30, -3.0933, -1.55739e-27, 3.5533e-27, -1546.65, 0, 0, 0, 1, -1.25078e-25, -8.85967e-26, -4.75556e-26
1729840090.930505661, -3.26164e-32, 9.15094e-32, -0.51039, -3.81148e-30, 7.99331e-30, -3.10637, -1.90574e-27, 3.99665e-27, -1553.18, 0, 0, 0, 1, -1.14655e-25, -1.09443e-25, -5.14643e-26
1729840090.932516010, -4.0796e-32, 1.08079e-31, -0.516616, -4.6496e-30, 8.87072e-30, -3.1192, -2.3248e-27, 4.43536e-27, -1559.6, 0, 0, 0, 1, -1.19866e-25, -1.14655e-25, -5.27672e-26
